id	instruments	genres	place	coordinates	is-danced	youtube-id	start-ts	end-ts
ach-ellada	Voice|Piano|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	cKXi8_5_Rd4	3795	4024
adramytiano-zeimbekiko-2	Violin|Trumpet|Trombone|Santouri|Percussion|Klarino	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	mp1pK6b1Oho	2551	2688
aerinos	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	00SbCAkyXhQ	44	201
afousis-kasos	Voice|Violin|Santouri|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kasos	35.3962719867034|26.92186922290313	0	U6oWHEVNvfY	3540	3668
aftalikos	Violin|Santouri|Percussion|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	1	_mUIVNdIJFU	5931	6120
aftalikos-2	Violin|Percussion|Oud|Klarino|Kanonaki	Traditional|Nisiotiko|Aegean	Aegean-sea|Chios	38.42426026626016|26.058525334235867	1	J-PqcxTXtp4	4126	4340
aftos-o-allos	Voice|Violin|Piano|Guitar|Bass|Accordion	Urban-folk|Urban-light	None	None	0	Desg3iWdxGU	2348	2558
aganta-gialessa-tsimarista-disticha	Voice|Violin|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Kalymnos	36.987573229226555|26.988755984703815	0	-Lae0QmE15A	3701	3822
agapisa-melachrino	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Deropolis	39.957412525980494|20.265997047721275	0	KzKkszPd-eM	4176	4370
agapo-mia-pantremeni	Voice|Violin|Santouri|Percussion|Oud|Kanonaki|Guitar	Traditional|Mikrasiatiko	Asia-minor	38.5231944247523|26.521702731335296	1	5fJXkyrSxo4	6327	6535
agia-mou-panagia-mou	Voice|Violin|Santouri|Percussion|Oud|Laouto|Guitar	Traditional|Nisiotiko|Aegean	Aegean-sea|Lesbos	39.23867882632123|26.256429816602346	1	mp1pK6b1Oho	6330	6622
agia-paraskevi-mou	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea	38.5853888564289|25.564763646019834	1	jpktBKou-_E	5070	5265
agiothodoritiko	Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Central-Greek	Central-Greece	38.87601135662379|22.319114372276747	1	GIOAt5GHt3I	4848	5065
agiothodoritissa	Voice|Violin|Santouri|Percussion|Laouto|Guitar	Rebetiko	None	None	1	0cj8BNcAhg4	2632	2853
agouros	Voice|Violin|Percussion|Laouto|Klarino|Guitar	Traditional|Thessalic	Thessaly	39.57905217840133|22.421756857721853	1	GIOAt5GHt3I	3891	4008
agouros-petra-pelekaei	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Peloponnesian	Peloponnese	37.200485993306756|22.362045452582027	1	6bLFhgwoKsY	3617	3860
ah-o-mpaglamas	Voice|Guitar|Bouzouki|Bass|Accordion	Laiko	None	None	0	vl46xtCpsEw	2935	3210
ai-nigias	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Sifnos	36.983851358131275|24.709400725229422	0	jpktBKou-_E	946	1170
ai-nilias	Voice|Violin|Santouri|Laouto	Traditional|Nisiotiko|Aegean	Aegean-sea|Folegandros	36.61960272637237|24.924059292312506	1	EoJoqvZukgw	571	819
ainte-min-to-vazeis-sto-gyali	Voice	Traditional|Macedonian|Vlachic	Macedonia|Grevena	40.08538883719564|21.41961215567693	0	gMz1OBS9FlQ	5131	5172
ainte-mor-milia	Voice|Violin|Percussion|Laouto|Klarino	Traditional|Epirotic	Epirus|Metsovo	39.77279687831799|21.180210833893486	1	UaYoyQPZEuo	4869	4972
